City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,Fonte Boa,-2.4959,-66.2662,74.34,96,100,2.59,BR,2022-12-10 05:11:13
210,Wewak,-3.5534,143.6268,84.9,68,94,5.95,PG,2022-12-10 05:11:14
211,Amapa,1.0,-52.0,70.59,96,100,1.79,BR,2022-12-10 05:11:15
212,Mizdah,31.4451,12.9801,62.65,32,47,10.07,LY,2022-12-10 05:11:15
213,Berlevag,70.8578,29.0864,17.55,79,20,14.97,NO,2022-12-10 05:11:15
214,Pisco,-13.7,-76.2167,68.05,83,0,10.36,PE,2022-12-10 05:11:16
215,Saint-Joseph,-21.3667,55.6167,80.98,81,17,10.25,RE,2022-12-10 05:11:16
216,Preobrazheniye,42.9019,133.9064,29.32,45,2,6.96,RU,2022-12-10 05:11:17
217,Aguimes,27.9054,-15.4461,66.83,88,75,2.3,ES,2022-12-10 05:11:17
218,Sokyryany,48.4475,27.4168,40.71,93,100,11.9,UA,2022-12-10 05:11:18
219,Ponta Do Sol,32.6667,-17.1,69.01,81,100,3.44,PT,2022-12-10 05:11:18
220,Grand Gaube,-20.0064,57.6608,76.37,78,84,11.01,MU,2022-12-10 05:11:19
221,Areia Branca,-4.9561,-37.1369,78.24,81,42,15.57,BR,2022-12-10 05:11:19
222,Hambantota,6.1241,81.1185,80.29,80,95,14.07,LK,2022-12-10 05:11:20
223,Caohe,30.2297,115.4335,58.1,53,3,7.36,CN,2022-12-10 05:11:21
224,Hamilton,39.1834,-84.5333,46.44,93,100,6.91,US,2022-12-10 05:11:21
225,Luderitz,-26.6481,15.1594,62.08,86,9,10.94,NA,2022-12-10 05:11:21
226,Thompson,55.7435,-97.8558,14.16,92,75,6.91,CA,2022-12-10 05:11:22
227,Mangrol,21.1167,70.1167,78.22,32,2,9.53,IN,2022-12-10 05:11:23
228,Airai,-8.9266,125.4092,79.18,39,99,5.57,TL,2022-12-10 05:11:23
229,Tawau,4.2498,117.8871,83.28,73,92,3.02,MY,2022-12-10 05:12:24
230,Mitu,1.1983,-70.1733,70.99,98,100,1.1,CO,2022-12-10 05:12:25
231,Broome,42.2506,-75.833,27.01,82,0,6.91,US,2022-12-10 05:12:25
232,Sakakah,29.9697,40.2064,54.64,61,2,4.14,SA,2022-12-10 05:12:26
233,Antalaha,-14.9003,50.2788,81.16,66,17,6.6,MG,2022-12-10 05:12:27
234,Avera,33.194,-82.5271,54.37,93,100,7.83,US,2022-12-10 05:12:27
235,Loiza,18.4313,-65.8802,75.18,78,20,4.61,PR,2022-12-10 05:12:27
236,Saint Anthony,45.0205,-93.218,32.22,86,100,13.8,US,2022-12-10 05:12:28
237,Ariquemes,-9.9133,-63.0408,74.44,90,95,2.75,BR,2022-12-10 05:12:28
238,Curaca,-8.9903,-39.9094,82.71,42,81,8.79,BR,2022-12-10 05:12:29
239,Tura,25.5198,90.2201,74.41,44,6,2.21,IN,2022-12-10 05:12:29
240,Tuatapere,-46.1333,167.6833,58.66,84,100,6.98,NZ,2022-12-10 05:10:32
241,Lakes Entrance,-37.8811,147.981,65.16,64,14,15.7,AU,2022-12-10 05:12:30
242,Marzuq,14.4,46.4667,67.01,39,2,1.3,YE,2022-12-10 05:12:30
243,Nantucket,41.2835,-70.0995,44.71,76,100,26.46,US,2022-12-10 05:12:31
244,Kahului,20.8947,-156.47,75.85,68,20,18.41,US,2022-12-10 05:12:31
245,Nimaparha,20.0667,86.0167,73.8,33,83,9.48,IN,2022-12-10 05:12:32
246,Gualeguay,-33.1416,-59.3097,73.47,80,100,8.61,AR,2022-12-10 05:12:32
247,Thinadhoo,0.5333,72.9333,82.29,77,100,16.89,MV,2022-12-10 05:11:46
248,Fort Nelson,58.8053,-122.7002,-3.05,78,95,1.99,CA,2022-12-10 05:12:33
249,Kurud,20.8322,81.7214,73.38,29,100,7.96,IN,2022-12-10 05:12:33
250,Trinidad,-14.8333,-64.9,77.95,77,71,4.65,BO,2022-12-10 05:12:34
251,Yulara,-25.2406,130.9889,105.35,15,28,16.33,AU,2022-12-10 05:12:34
252,Coihaique,-45.5752,-72.0662,48.81,93,0,2.3,CL,2022-12-10 05:12:35
253,Poum,-20.2333,164.0167,82.78,73,4,10.27,NC,2022-12-10 05:12:35
254,Aubenas,44.6201,4.3899,37.17,96,99,6.06,FR,2022-12-10 05:12:35
255,Poya,-21.35,165.15,83.98,69,34,4.0,NC,2022-12-10 05:12:36
256,Abalak,58.1286,68.5944,-3.19,99,82,2.98,RU,2022-12-10 05:12:36
257,Lysva,58.1086,57.8053,12.94,94,100,8.23,RU,2022-12-10 05:12:37
258,Ucluelet,48.9329,-125.5528,41.09,91,100,1.01,CA,2022-12-10 05:12:37
259,Sarangani,5.4033,125.4636,83.52,73,99,16.44,PH,2022-12-10 05:12:38
260,Ottumwa,41.02,-92.4113,38.95,92,100,0.0,US,2022-12-10 05:12:38
261,Lyubashivka,47.8372,30.2598,45.23,98,89,14.34,UA,2022-12-10 05:12:38
262,Moranbah,-22.0016,148.0466,96.21,27,31,0.38,AU,2022-12-10 05:12:39
263,Cherskiy,68.75,161.3,-31.4,100,52,4.29,RU,2022-12-10 05:12:39
264,Kulhudhuffushi,6.6221,73.07,81.79,68,76,15.68,MV,2022-12-10 05:12:40
265,Lincoln,40.8,-96.667,35.51,90,100,3.44,US,2022-12-10 05:12:37
266,Port Hueneme,34.1478,-119.1951,57.45,84,100,5.75,US,2022-12-10 05:12:40
267,Kashi,39.4547,75.9797,29.26,34,58,0.85,CN,2022-12-10 05:12:41
268,Krasnoselkup,65.7,82.4667,-9.81,98,98,8.57,RU,2022-12-10 05:12:41
269,Mackay,-21.15,149.2,86.68,67,54,12.24,AU,2022-12-10 05:12:42
270,Emerald,-23.5333,148.1667,90.34,45,57,7.58,AU,2022-12-10 05:12:42
271,Taseyevo,57.2169,94.8978,13.32,85,100,13.27,RU,2022-12-10 05:12:43
272,Cairns,-16.9167,145.7667,85.95,70,5,5.75,AU,2022-12-10 05:10:13
